date,city,state,dead,injured,total,description
6/19/22,Detroit,Michigan,1,3,4,"Four people were shot, one fatally, at an apartment complex and a park in two connected shootings in the Krainz Woods neighborhood."
6/19/22,Washington D.C.,Washington D.C.,1,3,4,"A teenager was killed and three others, including a police officer, were shot during a concert celebrating Juneteenth in the Cardozo neighborhood."
6/18/22,San Antonio,Texas,2,5,7,"A family having a barbeque in their front yard was fired upon in a drive-by shooting, leaving two dead and five injured."
6/18/22,Baltimore,Maryland,0,4,4,Three people standing together in the Sandtown-Winchester neighborhood were shot. A fourth person who was driving by was also hit by gunfire.
6/18/22,Pensacola,Florida,0,5,5,Just after midnight five people were shot at a nightclub in Downtown Pensacola.
6/17/22,Chicago,Illinois,0,5,5,"A group of people standing in a parking lot in the Lake Meadows neighborhood were fired upon, leaving five injured."
6/16/22,Oakland,California,1,4,5,"Five people were shot, one fatally, in the Civic Center neighborhood."
6/15/22,Denmark,South Carolina,0,4,4,"Four people, including at least one teenager, were shot."
6/14/22,Casselberry,Florida,4,0,4,"Four people, including a child, were fatally shot in a murder-suicide at an apartment complex."
6/14/22,Claremont,North Carolina,1,3,4,"A man shot fatally a woman and injured her two adult children over an argument about repairing a sink. After shooting them, he shot himself in the foot."
6/12/22,Indianapolis,Indiana,0,5,5,"A teenager shot four people during an argument, leaving one paralyzed, before being shot herself."
6/12/22,Los Angeles,California,3,4,7,Three people were killed and four others injured during a shooting at a rapper's birthday party concert in the Boyle Heights neighborhood. Two security guards were wounded.
6/12/22,Denver,Colorado,2,4,6,"Six people were shot, two fatally, during a party in the Virginia Village neighborhood."
6/12/22,Austin,Texas,1,3,4,An argument in the Los Indios neighborhood led to a shooting that killed one and injured three others.
6/12/22,New Orleans,Louisiana,0,4,4,Four people were shot outside a bar in the Mid-City neighborhood.
6/12/22,Roseville,Michigan,0,4,4,A domestic incident escalated into a shooting that injured four.
6/12/22,Gary,Indiana,2,4,6,A shooting at a nightclub left two dead and four others wounded.
6/11/22,Nashville,Tennessee,2,2,4,"Two people were shot, two fatally, during a birthday pool party at an apartment complex."
6/11/22,Louisville,Kentucky,0,5,5,Five teenagers were shot near the Big Four Bridge.
6/11/22,Chicago,Illinois,1,4,5,Five people in an alleyway in the Auburn Gresham neighborhood were shot in a drive-by shooting. One victim later died of their injuries.
6/11/22,Detroit,Michigan,0,4,4,Four people were injured in a drive-by shooting during a bachelor party being hosted at an Airbnb in the Davison-Schoolcraft neighborhood in the city's northwest side.
6/11/22,South Fulton,Georgia,0,7,7,Seven people were shot during a party.
6/10/22,Decatur,Georgia,1,3,4,An argument at a restaurant led to a shooting that left one person dead and three others injured.
6/9/22,Smithsburg,Maryland,3,3,6,"A shooter opened fire at a manufacturing facility, killing three and injuring one before fleeing the scene. Responding officers spotted the fleeing suspect, who engaged in a gun battle with state troopers, leaving the suspect and a state trooper injured."
6/8/22,Yuma,Arizona,0,4,4,A gunfight between two cars left four injured.
6/7/22,Baltimore,Maryland,2,2,4,"Four men sitting in the side yard of a house in the Frankford neighborhood were fired upon by a shooter. Two were killed, and the other two were wounded."
6/7/22,Chicago,Illinois,0,4,4,Four people were shot on a sidewalk in the North Lawndale neighborhood.
6/7/22,Portsmouth,Virginia,4,0,4,Four people were fatally shot at a home. The fourth victim succumbed to their injuries after a few days.
6/7/22,Chicago,Illinois,0,4,4,"Four people, including a teenager, were shot near a courtyard in the Altgeld Gardens neighborhood."
6/6/22,Salt Lake City,Utah,1,3,4,"Four people were shot, one of them fatally, at an apartment complex after a fight escalated."
6/5/22,Andrews,South Carolina,0,4,4,Four people were injured in a drive-by shooting shortly before midnight.
6/5/22,Saginaw,Michigan,3,2,5,Three people were killed and two were wounded by an early morning shooting at a house. The child of a dead pregnant woman was soon delivered by doctors.
6/5/22,Mesa,Arizona,2,2,4,Two people were killed and two others injured in a shooting outside a nightclub.
6/5/22,Chattanooga,Tennessee,2,12,14,"2022 Chattanooga shooting: Fourteen were shot, two of them fatally, at a nightclub during the early morning. A third person was killed by a vehicle attempting to flee."
6/5/22,Grand Rapids,Michigan,1,3,4,One person was killed and three others injured in an early morning shooting at the Festival of the Arts.
6/4/22,Socorro,Texas,0,5,5,Five teenagers were wounded in a targeted shooting at an early morning graduation house party after two groups at the party began fighting.
6/4/22,Summerton,South Carolina,1,7,8,"Eight people, including six children, were shot during a graduation party after occupants in two cars opened fire at the partygoers in the yard of the house it was being held at. An adult woman was killed."
6/4/22,Hempstead,New York,1,3,4,A man was fatally shot and three others were wounded beside an apartment building.
6/4/22,Macon,Georgia,1,3,4,"Four people were shot, one fatally, at an abandoned home."
6/4/22,Enterprise,Nevada,0,4,4,A couple was arrested after the boyfriend shot three people during an argument. The boyfriend was also shot.
6/4/22,Philadelphia,Pennsylvania,3,11,14,"2022 Philadelphia shooting: Fourteen people were shot, three of them fatally, by multiple shooters on South Street. One of the shooters may have been shot by a responding police officer."
6/4/22,Phoenix,Arizona,1,8,9,"A fight during a party being held at a strip mall escalated into gunfire, with nine people being shot."
6/3/22,Omaha,Nebraska,1,3,4,"Four people were shot, one fatally, shortly before midnight near an apartment complex."
6/3/22,Chester,Virginia,1,5,6,"Six people were shot, one fatally, during a party. One of the shooting victims also suffered a broken arm."
6/3/22,Birch River,West Virginia,2,2,4,"Two police officers responding to a domestic disturbance were fired upon by two men. In the ensuing gun battle, a shooter and a police officer were killed. The surviving officer and shooter were both shot."
6/2/22,Centerville,Texas,5,0,5,"Centerville shooting: An escaped prisoner broke into the holiday home of a grandfather and his four grandchildren and fatally shot four of them, as well as fatally stabbing one of the grandchildren, before stealing their truck. The prisoner was fatally shot in a gun battle with police later the same day."
6/1/22,Tulsa,Oklahoma,5,0,5,Warren Clinic shooting: At least four people were killed and multiple were injured after a shooting inside a building on the Saint Francis Hospital campus. The shooter fatally shot himself.
5/31/22,Wyoming,Michigan,4,0,4,A concerned relative checked their family at their home and found four of them dead. A man had killed his girlfriend and her two eldest children before committing suicide. Three younger children were found unharmed in the home.
5/31/22,Waco,Texas,0,4,4,Four people were shot in the Carver neighborhood.
5/30/22,Benton Harbor,Michigan,1,6,7,"Seven people were shot, one of them fatally, outside a bar and a liquor store during the early morning."
5/30/22,Charleston,South Carolina,0,10,10,"Ten people were shot during a party in a vacant parking lot, including a teenager. A police officer who was arriving at the scene was shot at in his police cruiser and suffered a shrapnel injury."
5/30/22,Philadelphia,Pennsylvania,2,2,4,"A shooting at a party in the Port Richmond neighborhood left two dead, including a teenager, and two others wounded."
5/29/22,Henderson,Nevada,0,7,7,"Seven people were shot on U.S. Route 95, causing the highway to be shut down in both directions for several hours."
5/29/22,Houston,Texas,0,4,4,Four people were shot in the Willow Springs neighborhood. A victim driving away from the scene fatally struck a motorcyclist.
5/29/22,Chicago,Illinois,1,4,5,"A man shot four people, one fatally, at a home in the Humboldt Park neighborhood before barricading himself inside during a domestic-related incident. The shooter was eventually shot by a SWAT team."
5/29/22,Fergus,California,1,3,4,"Four people were shot, one fatally, at a house party during the early morning."
5/29/22,Taft,Oklahoma,1,7,8,One person was killed and seven others wounded after a shooting at a Memorial Day festival at the Old City Square.
5/29/22,Chicago,Illinois,0,5,5,"Five people, including a teenager, were shot in the West Garfield Park neighborhood in the early morning."
5/29/22,Phoenix,Arizona,0,6,6,Six people were shot during a house party.
5/28/22,Memphis,Tennessee,0,4,4,Four people were shot during an illegal car show between the Hollywood and Hyde Park neighborhoods.
5/28/22,Malabar,Florida,0,4,4,A disturbance between two teenagers at a house party escalated into a shooting that wounded four after one of the teenagers opened fire shortly before midnight.
5/28/22,Colorado,Colorado,1,3,4,"Four people were shot, one fatally, in a shooting in a bar parking lot during the early morning hours."
5/28/22,Fresno,California,1,3,4,One teenager was killed and three were wounded in a shooting in the McLane neighborhood.
5/28/22,Chattanooga,Tennessee,0,6,6,Six people were injured during an exchange of gunfire in the Riverfront neighborhood.
5/27/22,Anniston,Alabama,0,6,6,"Six people, including several teenagers, were shot at a graduation party."
5/27/22,Austin Township,Michigan,4,1,5,A man fatally shot his wife and his step-children before non-fatally shooting himself in the head.
5/25/22,Philadelphia,Pennsylvania,0,4,4,"Four people were shot, including two teenagers, while on the way to a prom party in the Mantua neighborhood."
5/24/22,Uvalde,Texas,22,18,40,"Robb Elementary School shooting: An 18-year-old shot his grandmother at their home before driving to Robb Elementary School, where he entered the school unobstructed, barricading himself inside a classroom and fatally shooting twenty-one people, including nineteen children. Eighteen people in total were wounded. The shooter was eventually fatally shot by a Border Patrol officer, which was shot during the shootout."
5/23/22,Cleveland,Ohio,0,5,5,Five people were shot during a memorial service in the Collinwood neighborhood.
5/23/22,North Charleston,South Carolina,0,5,5,Five people were injured in an early morning shooting at a nightclub. Several others were injured by broken glass during the chaos of the shooting.
5/22/22,Riverside,Alabama,4,0,4,A man fatally shot his two teenage daughters and his wife before shooting himself.
5/22/22,San Juan,Puerto Rico,5,0,5,Police discovered five people shot to death at a public housing complex in the Caimito barrio.
